         21624757 function calls (21476474 primitive calls) in 52.705 seconds

   Ordered by: cumulative time
   List reduced from 2352 to 1077 due to restriction <'mlx'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
99911/99910    0.163    0.000    1.310    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:587(nextobject)
      140    0.001    0.000    1.271    0.009 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils.py:852(get_input_ids)
        1    0.000    0.000    1.201    1.201 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2953(_call_one)
        1    0.000    0.000    1.201    1.201 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:3171(batch_encode_plus)
        1    0.000    0.000    1.140    1.140 /Users/faisalm/dev/mlx-community/mlx-rag/vdb.py:57(__init__)
       34    0.000    0.000    0.950    0.028 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/converter.py:85(end_page)
       34    0.002    0.000    0.937    0.028 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:906(analyze)
189580/189568    0.200    0.000    0.886    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:503(nexttoken)
      140    0.002    0.000    0.659    0.005 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils.py:621(tokenize)
     1121    0.012    0.000    0.604    0.001 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils.py:710(convert_tokens_to_ids)
    40486    0.010    0.000    0.582    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils.py:732(_convert_token_to_id_with_added_voc)
    37864    0.016    0.000    0.570    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:173(_convert_token_to_id)
39841/38860    0.539    0.000    0.568    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:1105(__getattr__)
      140    0.009    0.000    0.517    0.004 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:158(_tokenize)
     3818    0.082    0.000    0.514    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:702(group_objects)
        4    0.000    0.000    0.434    0.109 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/requests/sessions.py:500(request)
        4    0.000    0.000    0.431    0.108 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/requests/sessions.py:673(send)
        4    0.000    0.000    0.428    0.107 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/huggingface_hub/utils/_http.py:90(send)
        4    0.000    0.000    0.428    0.107 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/requests/adapters.py:590(send)
        4    0.000    0.000    0.427    0.107 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/urllib3/connectionpool.py:592(urlopen)
        4    0.000    0.000    0.426    0.107 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/urllib3/connectionpool.py:377(_make_request)
      140    0.017    0.000    0.423    0.003 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:299(tokenize)
     1039    0.003    0.000    0.389    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/text.py:111(element_from_text)
    91434    0.108    0.000    0.371    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:355(__init__)
        4    0.000    0.000    0.343    0.086 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/urllib3/connection.py:534(getresponse)
      993    0.003    0.000    0.327    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/text_type.py:27(is_possible_narrative_text)
        2    0.000    0.000    0.304    0.152 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/requests/sessions.py:593(get)
        1    0.001    0.001    0.295    0.295 /Users/faisalm/dev/mlx-community/mlx-rag/model.py:125(__init__)
     1038    0.000    0.000    0.291    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/common/lang.py:462(apply_lang_metadata)
        1    0.000    0.000    0.290    0.290 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/common/lang.py:380(detect_languages)
        1    0.000    0.000    0.289    0.289 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/langdetect/detector_factory.py:133(detect_langs)
        1    0.000    0.000    0.283    0.283 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:1833(from_pretrained)
   190929    0.161    0.000    0.254    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:273(_parse_main)
    90333    0.053    0.000    0.229    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:507(add)
       34    0.033    0.001    0.226    0.007 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:813(group_textboxes)
    91477    0.091    0.000    0.209    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/utils.py:309(apply_matrix_rect)
      2/1    0.000    0.000    0.206    0.206 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/utils.py:213(wrapper)
        1    0.001    0.001    0.206    0.206 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf.py:471(_process_pdfminer_pages)
        1    0.000    0.000    0.196    0.196 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/huggingface_hub/hf_api.py:2805(repo_info)
   113844    0.091    0.000    0.196    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:444(add)
        1    0.000    0.000    0.195    0.195 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/huggingface_hub/hf_api.py:2590(model_info)
        1    0.000    0.000    0.191    0.191 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils.py:823(_batch_encode_plus)
      993    0.000    0.000    0.177    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdftypes.py:102(resolve)
      993    0.001    0.000    0.177    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfdocument.py:842(getobj)
      650    0.001    0.000    0.175    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfdocument.py:814(_getobj_parse)
        9    0.000    0.000    0.162    0.018 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:1160(do_Do)
      140    0.053    0.000    0.150    0.001 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:407(_clean_text)
    89907    0.084    0.000    0.148    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/utils.py:809(find)
     6093    0.014    0.000    0.142    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:860(isany)
    35/12    0.000    0.000    0.142    0.012 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/huggingface_hub/utils/_validators.py:98(_inner_fn)
    22338    0.053    0.000    0.142    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:348(_run_split_on_punc)
      283    0.002    0.000    0.135    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/text_type.py:180(contains_verb)
        7    0.000    0.000    0.135    0.019 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/utils/hub.py:264(cached_file)
        7    0.000    0.000    0.135    0.019 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/utils/hub.py:327(cached_files)
      5/2    0.000    0.000    0.133    0.067 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/huggingface_hub/file_download.py:808(hf_hub_download)
      5/2    0.000    0.000    0.133    0.067 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/huggingface_hub/file_download.py:1027(_hf_hub_download_to_cache_dir)
      201    0.000    0.000    0.132    0.001 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/nlp/tokenize.py:62(pos_tag)
        1    0.000    0.000    0.132    0.132 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/huggingface_hub/file_download.py:1488(_get_metadata_or_catch_error)
        1    0.000    0.000    0.131    0.131 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/huggingface_hub/file_download.py:1407(get_hf_file_metadata)
      4/1    0.000    0.000    0.131    0.131 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/huggingface_hub/file_download.py:261(_request_wrapper)
        2    0.000    0.000    0.131    0.065 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/huggingface_hub/utils/_http.py:212(http_backoff)
      221    0.000    0.000    0.121    0.001 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tag/__init__.py:143(pos_tag)
     1035    0.012    0.000    0.118    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:779(group_textlines)
8569/4791    0.003    0.000    0.118    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:461(get_text)
      988    0.003    0.000    0.117    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/text_type.py:264(exceeds_cap_ratio)
       55    0.092    0.002    0.116    0.002 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/langdetect/detector_factory.py:80(add_profile)
        3    0.115    0.038    0.115    0.038 {built-in method mlx.core.random.normal}
    98979    0.041    0.000    0.113    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:320(flush)
        1    0.000    0.000    0.112    0.112 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/utils/hub.py:151(list_repo_templates)
        1    0.000    0.000    0.111    0.111 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/huggingface_hub/hf_api.py:3062(list_repo_tree)
        1    0.000    0.000    0.111    0.111 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/huggingface_hub/utils/_pagination.py:27(paginate)
224717/112874    0.065    0.000    0.106    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:462(<genexpr>)
       38    0.000    0.000    0.104    0.003 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf.py:1037(pdfminer_interpreter_init_resources)
       38    0.001    0.000    0.104    0.003 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:376(init_resources)
     1813    0.004    0.000    0.099    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/text_type.py:208(sentence_count)
        1    0.000    0.000    0.097    0.097 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils.py:914(_batch_prepare_for_model)
      771    0.061    0.000    0.097    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf_image/pdfminer_processing.py:904(get_words_from_obj)
    81458    0.054    0.000    0.093    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:364(_parse_number)
       28    0.000    0.000    0.093    0.003 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf_image/pdfminer_processing.py:755(get_uris)
       28    0.002    0.000    0.093    0.003 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf_image/pdfminer_processing.py:786(get_uris_from_annots)
    34077    0.054    0.000    0.092    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:429(tokenize)
     1316    0.001    0.000    0.091    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf_image/pdfminer_processing.py:857(try_resolve)
       68    0.015    0.000    0.090    0.001 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/utils.py:366(fsplit)
      368    0.000    0.000    0.090    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:208(get_font)
5924/5726    0.001    0.000    0.088    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdftypes.py:110(resolve1)
    88783    0.046    0.000    0.088    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:206(voverlap)
       50    0.002    0.000    0.088    0.002 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdffont.py:1014(__init__)
     1815    0.001    0.000    0.086    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/__init__.py:109(sent_tokenize)
      844    0.000    0.000    0.077    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/nlp/tokenize.py:50(sent_tokenize)
   371200    0.046    0.000    0.075    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/utils.py:772(_getrange)
   336151    0.049    0.000    0.073    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:275(fillbuf)
   136367    0.037    0.000    0.071    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils.py:653(<lambda>)
     1815    0.001    0.000    0.067    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:1276(tokenize)
     1815    0.001    0.000    0.066    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:1331(sentences_from_text)
      221    0.000    0.000    0.065    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tag/__init__.py:114(_pos_tag)
     4372    0.001    0.000    0.065    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:1318(span_tokenize)
      221    0.003    0.000    0.065    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tag/perceptron.py:188(tag)
      143    0.000    0.000    0.064    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:227(__init__)
   372521    0.064    0.000    0.064    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/utils.py:302(apply_matrix_pt)
     4372    0.002    0.000    0.064    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:1441(_realign_boundaries)
      143    0.000    0.000    0.064    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:697(convert_to_tensors)
   115372    0.037    0.000    0.063    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils.py:366(_is_punctuation)
        3    0.000    0.000    0.063    0.021 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:772(as_tensor)
    99818    0.031    0.000    0.062    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:564(add_results)
6867/4372    0.002    0.000    0.061    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:313(_pair_iter)
    39665    0.032    0.000    0.061    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:397(_parse_keyword)
    88552    0.031    0.000    0.061    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:181(hdistance)
     4372    0.003    0.000    0.059    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:1427(_slices_from_text)
      140    0.031    0.000    0.058    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:370(_tokenize_chinese_chars)
     3784    0.001    0.000    0.058    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:915(<lambda>)
     3784    0.002    0.000    0.058    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:496(is_empty)
    423/3    0.030    0.000    0.057    0.019 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:90(flatten)
   223986    0.035    0.000    0.057    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:426(add)
        1    0.000    0.000    0.056    0.056 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tag/__init__.py:105(_get_tagger)
        1    0.000    0.000    0.056    0.056 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tag/perceptron.py:165(__init__)
        1    0.000    0.000    0.056    0.056 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tag/perceptron.py:274(load_from_json)
        1    0.000    0.000    0.056    0.056 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tag/perceptron.py:287(decode_json_params)
        4    0.000    0.000    0.056    0.014 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tag/perceptron.py:283(<genexpr>)
        3    0.000    0.000    0.056    0.019 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tag/perceptron.py:279(load_param)
       68    0.001    0.000    0.054    0.001 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/utils/sorting.py:99(sort_page_elements)
   138916    0.030    0.000    0.054    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils.py:354(_is_control)
    90293    0.030    0.000    0.053    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/cmapdb.py:152(get_unichr)
    22338    0.028    0.000    0.051    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:337(_run_strip_accents)
    91434    0.030    0.000    0.051    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdffont.py:933(char_width)
   189487    0.033    0.000    0.051    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:319(_add_token)
      762    0.015    0.000    0.049    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:1473(text_contains_sentbreak)
   609/34    0.008    0.000    0.048    0.001 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/utils/xycut.py:145(recursive_xy_cut_swapped)
     1308    0.035    0.000    0.048    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tag/perceptron.py:57(predict)
      140    0.035    0.000    0.045    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils.py:105(split)
   173929    0.027    0.000    0.044    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:551(push)
        5    0.000    0.000    0.044    0.009 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/utils.py:230(dependency_exists)
    31393    0.024    0.000    0.041    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:383(_parse_float)
        1    0.000    0.000    0.041    0.041 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/urllib3/connection.py:192(_new_conn)
        2    0.000    0.000    0.041    0.020 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/utils.py:198(run_check)
      683    0.000    0.000    0.041    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdftypes.py:205(dict_value)
        4    0.002    0.001    0.041    0.010 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/urllib3/connectionpool.py:1085(_validate_conn)
   100961    0.027    0.000    0.040    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:144(__init__)
        1    0.000    0.000    0.040    0.040 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pikepdf/__init__.py:1(<module>)
    31585    0.022    0.000    0.040    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:415(_parse_string)
       51    0.000    0.000    0.039    0.001 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdffont.py:975(__init__)
       35    0.000    0.000    0.039    0.001 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfpage.py:146(get_pages)
